Document Name,Original Issue Date,Date Added to this List,Identifier,Topics,Description/Summary,URL
Small Entity Compliance for Formaldehyde Standards in Composite Wood Products - Fabricators and Laminated Product Producers  (pdf),4/1/2018,2/28/2020,EPA 705-G-2020-2289,"TSCA Title VI, Composite wood products, formaldehyde",Webinar Presentation for Fabricators and Laminated Product Producers under the TSCA Title VI program,https://www.epa.gov/sites/production/files/2018-04/documents/small_entity_compliance_for_formaldehyde_standards-fabricators_4.20.2018.pdf
Small Entity Compliance for Formaldehyde Standards in Composite Wood Products - General Audiences  (pdf),4/1/2018,2/28/2020,EPA 705-G-2020-2187,"TSCA Title VI, Composite wood products, formaldehyde",Webinar Presentation for a General Audience under the TSCA Title VI program,https://www.epa.gov/sites/production/files/2018-04/documents/small_entity_compliance_for_formaldehyde_standards-general_audience_4.20.2018.pdf
Small Entity Compliance for Formaldehyde Standards in Composite Wood Products - General Audiences  (pdf),4/1/2018,2/28/2020,EPA 705-G-2020-2286,"TSCA Title VI, Composite wood products, formaldehyde",Webinar Presentation for a General Audience under the TSCA Title VI program,https://www.epa.gov/sites/production/files/2018-04/documents/small_entity_compliance_for_formaldehyde_standards-general_audience_4.20.2018.pdf
Small Entity Compliance for Formaldehyde Standards in Composite Wood Products - Panel Producers  (pdf),4/1/2018,2/28/2020,EPA 705-G-2020-2189,"TSCA Title VI, Composite wood products, formaldehyde",Webinar Presentation for Panel Producers under the TSCA Title VI program,https://www.epa.gov/sites/production/files/2018-04/documents/small_entity_compliance_for_formaldehyde_standards-panel_producers_4.20.2018.pdf
Small Entity Compliance for Formaldehyde Standards in Composite Wood Products - Panel Producers  (pdf),4/1/2018,2/28/2020,EPA 705-G-2020-2288,"TSCA Title VI, Composite wood products, formaldehyde",Webinar Presentation for Panel Producers under the TSCA Title VI program,https://www.epa.gov/sites/production/files/2018-04/documents/small_entity_compliance_for_formaldehyde_standards-panel_producers_4.20.2018.pdf
Small Entity Compliance for Formaldehyde Standards in Composite Wood Products - Third Party Certifiers   (pdf),4/1/2018,2/28/2020,EPA 705-G-2020-2188,"TSCA Title VI, Composite wood products, formaldehyde",Webinar Presentation for Third Party Certifiers under the TSCA Title VI program,https://www.epa.gov/sites/production/files/2018-04/documents/small_entity_compliance_for_formaldehyde_standards-tpcs_4.20.2018.pdf
Small Entity Compliance for Formaldehyde Standards in Composite Wood Products - Third Party Certifiers   (pdf),4/1/2018,2/28/2020,EPA 705-G-2020-2287,"TSCA Title VI, Composite wood products, formaldehyde",Webinar Presentation for Third Party Certifiers under the TSCA Title VI program,https://www.epa.gov/sites/production/files/2018-04/documents/small_entity_compliance_for_formaldehyde_standards-tpcs_4.20.2018.pdf
"Small Entity Compliance for Formaldehyde Standards in Composite Wood Products -Importers, Distributors, and Retailers  (pdf)",4/1/2018,2/28/2020,EPA 705-G-2020-2191,"TSCA Title VI, Composite wood products, formaldehyde","Webinar Presentation for Importers, Distributors, and Retailers under the TSCA Title VI program",https://www.epa.gov/sites/production/files/2018-04/documents/small_entity_compliance_for_formaldehyde_standards-importers_distributors_retailers_4.20.2018.pdf
"Small Entity Compliance for Formaldehyde Standards in Composite Wood Products -Importers, Distributors, and Retailers  (pdf)",4/1/2018,2/28/2020,EPA 705-G-2020-2290,"TSCA Title VI, Composite wood products, formaldehyde","Webinar Presentation for Importers, Distributors, and Retailers under the TSCA Title VI program",https://www.epa.gov/sites/production/files/2018-04/documents/small_entity_compliance_for_formaldehyde_standards-importers_distributors_retailers_4.20.2018.pdf
Pesticide Submissions Portal (PSP) User Guide (pdf),3/28/2018,2/28/2020,EPA 705-G-2020-2822,"Pesticide Registration, CDX, PSP, pesticide submissions portal",The purpose of this PDF document is to provide instructions on how to use the PSP application. This document provides guidance on how to properly prepare a package for submission to EPA.,https://www.epa.gov/sites/production/files/2018-03/documents/opp-pesticide-submissions_portal-user-guide-v1.6.1.pdf
"Label Review Manual, Chapter 3: General Labeling Requirements (pdf)",3/1/2018,2/28/2020,EPA 705-G-2020-2943,Pesticide Registration,This chapter describes general labeling requirements.,https://www.epa.gov/sites/production/files/2018-04/documents/chap-03-mar-2018_1.pdf
"Label Review Manual, Chapter 7: Precautionary Statements (pdf)",3/1/2018,2/28/2020,EPA 705-G-2020-2947,Pesticide Registration,This chapter describes the precautionary statements on the label.,https://www.epa.gov/sites/production/files/2018-04/documents/chap-07-mar-2018.pdf
Worker Protection Standard Application Exclusion Zone Requirements Updated Question and Answers (pdf),2/15/2018,2/28/2020,EPA 705-G-2020-2524,Pesticide Worker Safety,This fact sheet contains further explanation of the Application Exclusion Zone (AEZ) requirement in the Agricultural Worker Protection Standard WPS.,https://www.epa.gov/sites/production/files/2018-02/documents/aez-qa-fact-sheet-final.pdf
Structured Product Labeling (SPL) User Guide (unabridged) (pdf),2/5/2018,2/28/2020,EPA 705-G-2020-3597,OPPEL,The purpose of this document is to provide instructions on how to use the OPPEL Product Label (SPL) Builder. This document provides guidance on how to properly prepare a Product Label and/or Use Index document for submission to EPA.,https://www.epa.gov/sites/production/files/2018-04/documents/epa_cdx_smartlabel_builder_user_guide_unabridged_version_2.pdf
"Label Review Manual, Chapter 17: Net Contents/Net Weight (pdf)",2/1/2018,2/28/2020,EPA 705-G-2020-2957,Pesticide Registration; Pesticide Labeling,This chapter describes the net contents and net weight located on the label.,https://www.epa.gov/sites/production/files/2018-04/documents/chap-17-feb-2018_0.pdf
Pet Spot-on Enhanced Reporting Implementation Guidance (PDF),2/1/2018,2/28/2020,EPA 705-G-2020-2870,"Standardized Templates, Enhanced Reporting, Incident, Sales, Mitigation, Implementation; Conditions of Registration, expiration",PDF of Guidance to use EPA's Standardized Incident and Sales Templates for enhanced reporting of adverse incidents and requesting changes to conditions of registration (Quarterly to Annual submission of enhanced reporting; Removal of 2-year expiration date); Webinar took place 5/10/2018; PDF first dated February 2018 and updated August 2019,https://www.epa.gov/sites/production/files/2019-08/documents/pet-spot-on-enhanced-reporting-implementation-guidance-revised_2019.pdf
Questions and Answers - Exclusive Use Data Protection for Minor Use Registrations (pdf),2/1/2018,2/28/2020,EPA 705-G-2020-2970,Exclusive Use; Minor Use; Pesticide Registration,This document contains guidance on Exclusive Use Data Protection for Minor Use Registrations.,https://www.epa.gov/sites/production/files/2018-02/documents/exclusive-use-questions-feb2018.pdf
Decision Tree for Seed Treatment (Excluding Potato Seed-Piece Treatment) (pdf),1/26/2018,2/28/2020,EPA 705-G-2020-2428,seed treatment; decision tree,Diagrammatic representation of a decision Tree for the Residue Data Requirements excluding Potato Seed-Piece (PSP) Treatments.,https://www.epa.gov/sites/production/files/2018-01/documents/chemsac-seed-treatment_-012418-decision-tree-other.pdf
Decision Tree for the Residue Data Requirements of Potato Seed-Piece (PSP) Treatments (pdf),1/26/2018,2/28/2020,EPA 705-G-2020-2427,seed treatment; PSP; decision tree,Diagrammatic representation of a decision Tree for the Residue Data Requirements of Potato Seed-Piece (PSP) Treatments.,https://www.epa.gov/sites/production/files/2018-01/documents/chemsac-seed-treatment-012418-decision-tree-potato.pdf
Reduced Residue Chemistry Data Requirements for Seed-Treatment Uses (pdf),1/26/2018,2/28/2020,EPA 705-G-2020-2426,seed treatment,This document provides a tiered approach for determining if current crop-specific field trial data are required to support new seed treatment uses or if a reduction in number of field trials is appropriate.,https://www.epa.gov/sites/production/files/2018-01/documents/final-chemsac-seed-treatment-signed-012518.pdf
Spot-On Enhanced Reporting Pilot Template Development Synopsis (pdf),1/23/2018,2/28/2020,EPA 705-G-2020-2839,"pets, spot-on Products; reporting sales and incident",Spot-On Enhanced Reporting Pilot Template Development Synopsis PDF.,https://www.epa.gov/sites/production/files/2018-04/documents/synopsis-development-enhanced-reporting-templates.pdf
Structured Product Labeling (SPL) Draft Implementation Guide with Validation Procedures and User Guide  (pdf),1/1/2018,2/28/2020,EPA 705-G-2020-3599,FIFRA; Labeling,"This document provides an introduction to the OPPEL Model, as well as guidance on how to extract pesticide information into the Structured Product Label (SPL) model for submission to EPA. ",https://www.epa.gov/sites/production/files/2019-09/documents/smartlabel-spl-implementation-guide-draft-psp-release-1.6.6.pdf
Safer Choice Resources for Manufacturers Fact Sheet (pdf),10/1/2017,2/28/2020,EPA 705-G-2020-3618,Safer Choice,This fact sheet provides resources for manufacturers formulating products with safer chemical ingredients.,https://www.epa.gov/sites/production/files/2017-11/documents/saferchoice-factsheet-resourcesformanufacturers_0.pdf
Preferred Vocabulary for Establishing Pesticide Tolerances (pdf),9/27/2017,2/28/2020,EPA 705-G-2020-2344,Pesticide Tolerances; Vocabulary,This document presents stakeholders who propose pesticide tolerances and regulatory staff charged with reviewing those proposals with the preferred vocabulary terms both for individual commodities and crop groups and subgroups,https://www.epa.gov/sites/production/files/2020-02/documents/preferred-vocab-establishing-pesticide-tolerances.pdf
PRN 2017-1 Guidance for Pesticide Registrants on Pesticide Resistance Management Labeling (pdf),8/24/2017,2/28/2020,PRN 2017-1,PRN; Guidance; PRN 2017-1; 2017-1,"PRN 2017-1, Guidance for Pesticide Registrants on Pesticide Resistance Management Labeling, revises and updates PRN 2001-5. PRN 2017-1 applies to all conventional, agricultural pesticides (i.e., herbicides, fungicides, bactericides, insecticides, and acaricides).",https://www.epa.gov/sites/production/files/2017-09/documents/prn-2017-1-pesticide-resistance-management-labeling.pdf
"Label Review Manual, Chapter 15: Company Name and Address (pdf)",8/1/2017,2/28/2020,EPA 705-G-2020-2955,Pesticide Registration; Pesticide Labeling,This chapter describes listing the company name and number on the label.,https://www.epa.gov/sites/production/files/2017-09/documents/chap-15-aug-2017.pdf
