Accession,id,anticons,model
GSE106741,GSE106741_TRIGL-FAR-DENOVO_edgeR.tsv.gz,0,illumina hiseq 2500
GSE106746,GSE106746_TRIGL-FAR-EUCGR_edgeR.tsv.gz,0,illumina hiseq 2500
GSE106747,GSE106747_SYZLO_DENOVO_edgeR.tsv.gz,0,illumina hiseq 2500
GSE106749,GSE106749_SYZLO-EUCGR-edgeR.tsv.gz,0,illumina hiseq 2500
GSE106762,sheet-Sheet1 from GSE106762_Table_S3-mid-cycle_RNA-seq_fullset.xlsx,0,ion torrent proton
GSE106768,GSE106768_WT_v_rsc1d_gene_differential_expression_testing.txt.gz,0,illumina hiseq 2500
GSE106845,GSE106845_cds_exp.diff.txt.gz,0,illumina hiseq 2500
GSE106860,GSE106860_processed_data.txt.gz,1,illumina hiseq 2500
GSE106886,GSE106886_Rao-2017-RAD21notreat_vs_RAD21treat.Genes.DESeq2.txt.gz,1,illumina hiseq 2500
GSE106934,GSE106934_RBP7vsCtrl.txt_results_EdgeR.txt.gz,0,ab solid 4 system
GSE106943,sheet-Sheet1 from GSE106943_RNAseq.xlsx,0,nextseq 550
GSE106966,GSE106966_gene.description.xls.gz,0,hiseq x ten
GSE106985,sheet-D5.5MUT_D5.5WT.anno from GSE106985_Table_s1.xls.gz,1,illumina hiseq 2500
GSE107004,sheet-Sheet1 from GSE107004_Tr_Control_vs_GSE107004_HC_Control_gene_expression.xlsx,0,illumina hiseq 4000
GSE107045,GSE107045_TAZ_shRNA2_vs_Control_shRNA_RPKM_Filt.txt.gz,1,illumina hiseq 2500
GSE107048,GSE107048_Processed_data.txt.gz,0,illumina hiseq 2500
GSE107052,GSE107052_processed_statistics_etc.txt.gz,1,illumina hiseq 2500
GSE107058,GSE107058_325_vs_CtrlB_only_RPKM_Filt.txt.gz,1,illumina hiseq 2500
GSE107060,GSE107060_Tsc2_wt_Deseq2.txt.gz,0,illumina hiseq 2500
GSE107064,sheet-ProcessedData from GSE107064_DESeq2_Results_TPM_AbundanceValues.xlsx,0,illumina hiseq 2000
GSE107068,GSE107068_Total_of_genes.tsv.gz,1,ion torrent proton
GSE107090,GSE107090_result--d2_WT--over--d2_CRE.txt.gz,0,nextseq 500
GSE107123,sheet-b. R88A  from GSE107123_STable1_RbpAMutants_all_genes.xlsx,1,illumina hiseq 2000
GSE107165,GSE107165_WT_rep1_rep2_DESeq.csv.gz,0,illumina hiseq 2500
GSE107167,sheet-DE_analysis from GSE107167_Sharma_RNAseq_STAR_featureCoutns_edgeR_20170619_2.xlsx,1,nextseq 500
GSE107181,GSE107181_res_NEURONS_vs_IPS_AD4.csv.gz,0,illumina hiseq 4000
GSE107183,sheet-DE_analysis_ILMN_014_031 from GSE107183_Tau_SS_RNAseq_STAR_featureCoutns_edgeR_merge_20170308.xlsx,1,nextseq 500
GSE107199,sheet-polyIC vs. WT_ctrl_all from GSE107199_polyIC_vs._WT_ctrl_all.xlsx.gz,0,nextseq 500
GSE107207,GSE107207_res.genes.pietrain.a-b.csv.gz,0,illumina hiscansq
GSE107228,GSE107228_dnmaml_RNA_seq.txt.gz,0,illumina hiseq 2000
GSE107249,sheet-gene_exp from GSE107249_gene_exp.xlsx,0,illumina hiseq 2500
GSE107306,GSE107306_DeSeq2_Glucose-T1_vs_Glucose-T2.csv.gz,1,illumina hiseq 4000
GSE107324,sheet-Sheet1 from GSE107324_femaleDifferentialCounts0_50_topTable_edgeR_tabular_processed_data.xlsx,0,illumina hiseq 2500
GSE107334,GSE107334_norm_counts_DESeq2_ins_vs_con.csv.gz,0,nextseq 500
GSE107339,GSE107339_KO-IFT88_vs_WT-IFT88.txt.gz,0,illumina hiseq 2500
GSE107376,sheet-All_samples_SERO-POSvsSERO-NEG. from GSE107376_All_samples_SERO-POSvsSERO-NEG.diffExp-edgeR.output.xlsx,0,illumina hiseq 2500
GSE107389,sheet-DESeq_tab_All_control_mutant from GSE107389_NTC.xlsx,0,illumina hiseq 2000
GSE107393,sheet-0146nacl from GSE107393_binary_comparisons_glu_gly_nacl_fapR_cra.xlsx,0,illumina hiseq 2500
GSE107415,GSE107415_F1_Males_ProcessedData.txt.gz,1,illumina hiseq 2500
GSE107419,sheet-Prl_vs_P_GO_dscrpns from GSE107419_DEG_Prl_vs_P_DEseq.xlsx,0,illumina hiseq 2500
GSE107434,GSE107434_RNASeq-mice-CTX-6week_cuffdiff_KOvsWT_genes.txt.gz,0,illumina hiseq 2000
GSE107488,GSE107488_all_genes_fold_changes_lung_iav_vs_mock.txt.gz,1,illumina hiseq 2500
GSE107498,sheet-Sleuth Results from GSE107498_Supplementary_FIle_1_Sleuth_results.xlsx.gz,1,illumina hiseq 2000
GSE107529,sheet-rasv12wrnai vs rasv12EP3037 from GSE107529_gene_expression_level.xlsx,0,illumina hiseq 2500
GSE107555,GSE107555_HL60_deseq_norm_countFeatures.txt.gz,1,illumina hiseq 1500
GSE107564,GSE107564_control.vs.shIMP_75_treated.txt.gz,0,illumina hiseq 2000
GSE107578,GSE107578_gene_exp.diff.gz,0,illumina hiseq 2500
GSE107586,GSE107586_DESeq2_analysis.txt.gz,1,illumina miseq
GSE107632,GSE107632_cummeRbund_diffTable.txt.gz,0,illumina hiseq 2500
GSE107676,GSE107676_SE.MATS.ReadsOnTargetAndJunctionCounts.txt.gz,0,illumina hiseq 2500
GSE107680,GSE107680_EX_MRC5-142-HCMV-9d_vs_MRC5-142-HCMV142T-9d.host.deseq.res.csv.gz,0,illumina miseq
GSE107704,GSE107704_dpy_skn.csv.gz,1,illumina hiseq 2000
GSE107705,GSE107705_sorted_MF_edgeR_2016_07_06_submitted.csv.gz,1,illumina hiseq 2500
GSE107762,GSE107762_gene_exp.diff.txt.gz,0,illumina hiseq 2500
GSE107839,GSE107839_gene_exp.diff.gz,0,illumina hiseq 2500
GSE107841,GSE107841_wt_dhh1_expressions.txt.gz,1,illumina hiseq 4000
GSE107849,sheet-mrnaseq.monroe-tmm.Rorb-CRISPR from GSE107849_Farr_Monroe_2017_Processed_Data.xlsx,0,illumina hiseq 2000
GSE107872,GSE107872_deseq.input.txt.gz,0,illumina hiseq 2500
GSE107961,sheet-statistics_12 h_cys-con from GSE107961_statistics_12_h_cys-con.xlsx,1,illumina hiseq 2500
GSE107982,GSE107982_Differential_expression_DT3017_DT3017pDT16.txt.gz,0,illumina hiseq 2000
GSE107997,sheet-Sheet 1 from GSE107997_AneuSeq_GEO_DESeq.xlsx,1,nextseq 500
GSE107998,GSE107998_Data-file-S1_Transcriptome_DEG_Simvastatin.txt.gz,0,illumina hiseq 2000
GSE108005,GSE108005_gene_exp.diff.gz,0,illumina hiseq 2000
GSE108018,GSE108018_WTKO_Saci_1107_DEseq2.csv.gz,0,illumina hiseq 2500
GSE108044,GSE108044_fold.changes.txt.gz,0,illumina hiseq 2500
GSE108073,GSE108073_cup9_overall_analysis.txt.gz,1,illumina hiseq 2500
GSE108080,GSE108080_WTvsWTVSV.DiffExpGene.anno.xls.gz,1,illumina hiseq 2000
GSE108106,GSE108106_DE_results_starved_vs_fed.txt.gz,0,illumina hiseq 2500
GSE108128,GSE108128_gene_exp.diff.gz,0,illumina hiseq 2500
GSE108157,sheet-huHrt_ICM.v.NICM_diffexp from GSE108157_huHrt_ICM.v.NICM_diffexp.xlsx,0,illumina hiseq 2500
GSE108161,GSE108161_deseq2_results.txt.gz,0,illumina genome analyzer ii
GSE108184,GSE108184_MafTregs_iTregs_iTreg_transfer_MafKO_v_iTreg_transfer_WT.txt.gz,0,nextseq 500
GSE108190,GSE108190_antibiotics_resistant_mutants.txt.gz,0,illumina hiseq 2500
GSE108252,GSM2893716_tss_group_exp.diff.txt.gz from GSE108252_RAW.tar,0,nextseq 500
GSE108274,GSE108274_rnaseq-submission-gene-difference-data_1.txt.gz,0,nextseq 500
GSE108308,GSE108308_Process.RNASeq.DE.txt.gz,0,nextseq 500
GSE108332,sheet-WT--KO rep2 from GSE108332_RNA_seq-rep2.xls.gz,1,illumina hiseq 3000
GSE108341,sheet-Report_UMI_and_exp_filter from GSE108341_Report_UMI_filtered.xlsx,0,nextseq 500
GSE108392,sheet-Results from GSE108392_Mira_RNA_DESeq_results_comparison.xlsx,0,nextseq 500
GSE108435,GSE108435_gut_vs_liver.txt.gz,0,illumina hiseq 2000
GSE108451,GSE108451_metaseqr_colvip75ffdare_wt_vics.txt.gz,0,ion torrent proton
GSE108454,sheet-All_genes_fold_changes_group2_v from GSE108454_All_genes_fold_changes_group2_vs_group3.xlsx,1,illumina hiseq 2500
GSE108469,GSE108469_HepG2_SB_DE.txt.gz,1,illumina hiseq 2500
GSE108471,sheet-diff_exp from GSE108471_Germline_RNAseq.xlsx,0,illumina hiseq 2500
GSE108472,sheet-diff_exp from GSE108472_Soma_RNAseq.xlsx,0,illumina hiseq 2000
GSE108521,GSE108521_RNA-seq_BOFSp2hNCC_vs_WTp2hNCC.txt.gz,0,illumina hiseq 2500
GSE108523,sheet-Vehcle_EAE@Ctrl from GSE108523_Gene_Exp_Result.xlsx.gz,0,nextseq 500
GSE108621,GSE108621_DMSO_vs_TSZ_Nec-1s_DESeq.csv.gz,0,nextseq 550
GSE108643,GSE108643_Cuffdiff_gene_differential_expression_testing.tabular.txt.gz,0,illumina hiseq 2500
GSE108651,GSM2909258_PRMT5_SUDHL4_day6_gene_exp.diff.gz from GSE108651_RAW.tar,0,illumina hiseq 2500
GSE108662,GSE108662_KD_vs_NT_cuffdiff_gene_exp.txt.gz,0,illumina hiseq 2500
GSE108663,GSM2909556_Sample_55349_hetSNPs_alleleCountFromSample55337_baseq20mapq20_AD_binomTest.txt.gz from GSE108663_RAW.tar,0,illumina hiseq 2500
GSE108675,sheet-Data from GSE108675_DESeq2_results.xls.gz,0,nextseq 500
GSE108678,sheet-PIPELINE_1 from GSE108678_PIPELINE_1_ALL_DATA.xlsx,0,illumina hiseq 2500
GSE108703,GSM2911372_HYS-VS-A-mutant.GeneDiffExp.txt.gz from GSE108703_RAW.tar,1,illumina hiseq 4000
GSE108713,GSE108713_gene.description.xls.gz,1,illumina hiseq 2500
GSE108732,GSE108732_DEseq2-NF.csv.gz,1,ion torrent proton
GSE108749,GSE108749_DMSO-vs-129_results.csv.gz,0,illumina hiseq 2000
GSE108794,sheet-noDox vs NLS from GSE108794_ESC_Differentiation_RNA-Seq.xlsx,0,illumina hiseq 3000
GSE108797,sheet-Sheet1 from GSE108797_ESC_RNA-seq.xlsx,0,illumina hiseq 3000
GSE108798,sheet-noTarget vs CNOT7 from GSE108798_CNOT1_CNOT7_shRNA.xlsx,0,illumina hiseq 3000
GSE108800,sheet-Sheet1 from GSE108800_Chr_dox_noDox_gene_exp.xlsx,0,illumina hiseq 3000
GSE108807,GSE108807_H7N9.txt.gz,1,illumina hiseq 2000
GSE108836,GSE108836_gene_expSS_SC.txt.gz,0,illumina hiseq 2000
GSE108844,GSE108844_4comparisons_gene_exp.diff.gz,0,nextseq 500
GSE108864,GSE108864_Pkd1_Pkd2_summary.csv.gz,0,illumina hiseq 2500
GSE108872,GSE108872_ControlandsiTet1and2_RPKM.txt.gz,0,illumina hiseq 2500
GSE108873,GSE108873_mchm_fC1_DESeq_c2.tsv.gz,0,illumina miseq
GSE108898,GSE108898_deseq2_analysis_cml39_vs_wt.txt.gz,0,illumina hiseq 2500
GSE108907,sheet-Neutrally_Regulated from GSE108907_DGE_Ref_55_kPa_Test_2_kPa_Report.xlsx.gz,0,nextseq 500
GSE108919,GSE108919_CsA_differential_expression.txt.gz,1,illumina hiseq 2500
GSE108973,GSE108973_FC_pYS5_vs_pSW4.txt.gz,0,illumina hiseq 2500
GSE108993,sheet-Gene expression from GSE108993_Gene_Expression.xlsx.gz,0,illumina hiseq 2500
GSE109040,GSE109040_DE_IC_from_DSS.csv.gz,0,illumina hiseq 2500
GSE109041,sheet-DESeq2_res_all.txt from GSE109041_DESeq2_final.xls.gz,1,nextseq 500
GSE109065,GSE109065_Shoot_Cuffdiff_result.txt.gz,0,illumina hiseq 2000
GSE109083,sheet-NPC1-WT_PBSvsNPC1-WT from GSE109083_Cougnouxa_DEG.xlsx,0,illumina hiseq 2500
GSE109111,GSE109111_NTC-KD_EdgeR.txt.gz,1,illumina hiseq 2500
GSE109130,GSE109130_gene_exp.diff.gz,0,illumina hiseq 2500
GSE109152,GSE109152_All.HFD_v_ND.2_counts.txt.gz,0,illumina hiseq 2000
GSE109167,GSE109167_gene_exp.diff.gz,0,hiseq x ten
GSE109185,GSE109185_E3_F5_DESeq2.csv.gz,0,illumina hiseq 2500
GSE109201,GSE109201_DESeq2_results_mut140_vs_WT.txt.gz,0,illumina hiseq 2500
GSE109257,GSE109257_gene_exp.diff.gz,0,nextseq 500
GSE109279,GSE109279_DESeq2.DiffExp_WT_SIRT3KO_MEFs.txt.gz,0,nextseq 500
GSE109293,GSE109293_DESeq2_out_MEF_DS_vs_WT.txt.gz,0,illumina hiseq 2500
GSE109294,GSE109294_DESeq2_out_Hippocampus_Dp1Tyb_vs_WT.txt.gz,0,illumina hiseq 4000
GSE109322,GSE109322_gene_exp.diff.gz,0,illumina hiseq 2500
GSE109350,GSE109350_Experiment_vs_Control.txt.gz,0,illumina hiseq 2500
GSE109362,GSE109362_RBM3KO2_WT2.anno.xls.gz,0,illumina hiseq 2500
GSE109369,GSE109369_3h-gene_exp.txt.gz,0,hiseq x ten
GSE109378,GSE109378_SKMEL28-SK-P8-2_-xenograft_RNA-seq-full_list.txt.gz,0,illumina hiseq 2500
GSE109385,sheet-Wing disc RNA-seq from GSE109385_RNA.expression.xlsx,1,ion torrent proton
GSE109409,GSE109409_edgeR_merged_wRPKM_tn20150828_GLMM_20170614dm.txt.gz,0,illumina hiseq 2500
GSE109443,GSE109443_CRTC3-Bko-SVF_gene_exp.diff.gz,0,illumina miseq
GSE109461,GSE109461_expression_data.txt.gz,0,illumina hiseq 1000
GSE109472,GSE109472_gene_exp.diff.gz,0,illumina hiseq 2500
GSE109510,GSE109510_Differential_Normalized_Counts.txt.gz,0,illumina hiseq 2500
GSE109522,GSE109522_gene_exp.diff.gz,0,illumina hiseq 4000
GSE109539,sheet-D1.df from GSE109539_LE_cpm.xlsx,1,illumina hiseq 2500
GSE109540,GSE109540_RNAseq.csv.gz,0,illumina hiseq 4000
GSE109544,GSE109544_gene_exp.diff.gz,0,illumina hiseq 4000
GSE109582,GSE109582_cuffdiff_101817_gene_exp.csv.gz,0,illumina hiseq 2000
GSE109615,GSE109615_gene_description.txt.gz,0,hiseq x ten
GSE109630,sheet-F1_5days_TCPBOP_VS_CTR-RESULTS from GSE109630_RAW.tar,0,illumina hiseq 2000
GSE109637,GSE109637_itpr_rmdup_diff_CuffDiff.txt.gz,0,illumina hiseq 2500
GSE109722,GSE109722_P16.csv.gz,0,illumina hiseq 4000
GSE109754,GSE109754_gene_exp.diff.gz,0,nextseq 500
GSE109801,GSE109801_different_expressed_genes.txt.gz,0,illumina hiseq 2000
GSE109806,GSE109806_MockVsRalt_gene_exp.diff.gz,0,illumina hiseq 2500
GSE109827,GSE109827_splicing_MATS_MXE.csv.gz,0,illumina hiseq 4000
GSE109829,sheet-KT_BAT_NT_vs_BLEB_EdgeR.txt from GSE109829_BATcells_control_vs_BLEB_EdgeR.xlsx.gz,0,illumina hiseq 2500
GSE109850,GSE109850_DifferentialAnalysis.txt.gz,0,illumina hiseq 2500
GSE109870,GSE109870_gene_exp.diff.gz,0,illumina hiseq 2500
GSE109957,sheet-MXE_res_all_p.txt from GSE109957_MXE_final_p.xlsx,0,nextseq 500
GSE109976,GSE109976_DESeq2_1.12.4.FIBvsVCTB.txt.gz,0,illumina hiseq 2500
GSE110018,sheet-170627_P2C2_Runx1WT_DN_Satb1_di from GSE110018_Scid.adh.2c2_Runx1_WT_DN_Satb1_RNA-seq_RPKM_table.xlsx.gz,0,illumina hiseq 2500
GSE110045,sheet-Ctrl_vs_DAC from GSE110045_Ctrl_vs_DAC_diff_expr.xlsx.gz,0,nextseq 500
GSE110072,GSE110072_condition_sin-3_WT.csv.gz,0,illumina hiseq 4000
GSE110131,GSE110131_Normalized_FPKM.csv.gz,0,illumina hiseq 2000
GSE110163,GSE110163_Smad23DKO_EpiLC_DESeq.Result.Table_FULL.DEDUP.txt.gz,0,illumina hiseq 4000
GSE110192,sheet-ProcessedData from GSE110192_DESeq2_Results_TPM_AbundanceValues_Phase_2.xlsx,0,illumina hiseq 2000
GSE110243,GSE110243_merged_table_full_02_04_2018_submission.csv.gz,1,illumina hiseq 2500
GSE110275,GSE110275_DeSeq2_treR.txt.gz,1,nextseq 550
GSE110300,GSE110300_DEseq_SJ007-SJ008-SJ009_SJ010-SJ011-SJ012_DEG_list.csv.gz,0,illumina hiseq 2500
GSE110303,GSE110303_DEseq_SJ003-SJ004-SJ005_SJ010-SJ011-SJ012_DEG_list.csv.gz,0,illumina hiseq 2500
GSE110327,GSE110327_differential_expression.txt.gz,0,illumina hiseq 2500
GSE110334,GSE110334_NSMRep3_gene_exp.diff.gz,0,illumina hiseq 2000
GSE110341,sheet-NTG_vs_KO_edgeR_FDR.xls from GSE110341_Gene_Count-DEG_List.xlsx,1,illumina hiseq 4000
GSE110374,GSE110374_Complete_genelist_wtPD_vs_input.csv.gz,1,illumina hiseq 4000
GSE110392,GSE110392_Female_UTX_cKO_case_vs_Female_Ctrl_ctrl.all.anno.xls.gz,0,illumina hiseq 2500
GSE110422,GSE110422_Emp_pIC_NCoR1_pIC.txt.gz,0,nextseq 500
GSE110434,GSE110434_iPSC_OB_and_iPSC.txt.gz,1,illumina hiseq 2500
GSE110445,GSE110445_rpoN_RNA_seq_analyzed.txt.gz,1,illumina hiseq 2000
GSE110489,GSE110489_WT-1-VS-TT-5-1.GeneDiffExp.xls.gz,0,illumina hiseq 2000
GSE110493,sheet-Hoja1 from GSE110493_Processed_data_OtB1788_to_OtB1791.xlsx,1,illumina hiseq 2000
GSE110500,sheet-RNA-seq from GSE110500_RNAseq.xlsx,1,nextseq 550
GSE110512,GSE110512_gene_exp.txt.gz,1,illumina hiseq 4000
GSE110523,GSE110523_mir24-cont-analyzed.txt.gz,1,illumina hiseq 3000
GSE110567,GSE110567_scram_v_scxsirna_out.txt.gz,0,illumina hiseq 2500
GSE110620,GSE110620_groupTTR-RVR.vsPBS.DESeq2.txt.gz,0,nextseq 500
GSE110646,GSE110646_Cuffdiff_gene_expression_March2016_reformat.csv.gz,0,illumina hiseq 2000
GSE110694,sheet-CK8.DKO_over_CK5.normal from GSE110694_DKO_Dataset1_DEG.xlsx,1,illumina hiseq 2500
GSE110698,sheet-Sheet1 from GSE110698_HepG2_cyt_vs_HepG2_tot.xls.gz,0,illumina hiseq 2000
GSE110703,sheet-Gene_Exp_w_Analysis (1) from GSE110703_Gene_Exp_w_Analysis.xls.gz,1,illumina hiseq 2500
GSE110709,GSE110709_be2_all.csv.gz,0,illumina hiseq 2000
GSE110723,GSE110723_H99_v_cdc50_results.csv.gz,1,illumina hiseq 4000
GSE110736,sheet-GeneExpression from GSE110736_Analysis.xlsx,1,illumina hiseq 4000
GSE110744,GSE110744_control_vs_treatment_HN17.txt.gz,0,illumina hiseq 4000
GSE110745,GSE110745_control_vs_treatment_OVISE.txt.gz,0,hiseq x ten
GSE110750,sheet-Sheet1 from GSE110750_Processed_data_file.xlsx,1,illumina miseq
GSE110923,sheet-results_sample2_vs_sample1_all from GSE110923_results_WT_vs_acinus_pnn_analyzed.xlsx,1,illumina hiseq 2000
GSE110948,sheet-CFMPB404 HDACi trial RNA seq di from GSE110948_Processed_RNA_seq_A375__A375R__A375DR_AND_patient_pre_and_post_Vorinostat.xlsx,0,illumina hiseq 2500
GSE110971,GSE110971_Sm_vs_PBS_Gexon_KwGn_DESeq2-All_2.anntNM.txt.gz,0,illumina hiseq 2000
GSE110998,sheet-gene_exp.diff from GSE110998_gene_exp_N2_vs_fog2_N6_PC_GEO.xlsx.gz,0,illumina hiseq 2000
GSE111012,GSE111012_450_vs_Phi80.txt.gz,1,illumina hiseq 2000
GSE111079,sheet-p<=1; FC>=1 from GSE111079_DIFFEXPR_EXPORT319_DATASET396.xlsx,0,nextseq 500
GSE111120,GSE111120_083016_DESeq2_paired_hg19_ALL.csv.gz,0,illumina hiseq 2500
GSE111126,GSE111126_Mutt110_vs_Wtcu.txt.gz,0,illumina hiseq 2500
GSE111148,GSE111148_Astrocyte_Kir4.1cKO_DESeq2output.csv.gz,0,nextseq 500
GSE111150,GSE111150_LL_edgeR_withcount_n3.txt.gz,0,illumina hiseq 2000
GSE111167,sheet-Dieldrin vs DMSO from GSE111167_Transcriptome_analysis.xlsx,0,illumina hiseq 4000
GSE111169,sheet-Sheet1 from GSE111169_Hes1_RNA-seq_gene_list-2.23.2018.xlsx.gz,0,illumina hiseq 2500
GSE111178,GSE111178_IMS_FKBP_fpkm_means.txt.gz,1,nextseq 500
GSE111189,GSE111189_diff-Deseq2-R-Oil-vs-85-Oil.txt.gz,1,nextseq 500
GSE111193,GSE111193_DESeq2_MutAtc_vs_MutNoAtc_v2.csv.gz,1,illumina hiseq 2500
GSE111216,sheet-BLD_CTR_vs_CFA from GSE111216_Parisien_Suppl_Table_07_gene_BLD_CTRvsCFA.xlsx,0,illumina hiseq 2000
GSE111221,GSE111221_BBCdiffGE.txt.gz,0,illumina hiseq 2000
GSE111227,GSE111227_TruSeq.DESeq2_results.txt.gz,0,nextseq 500
GSE111244,GSE111244_gene_exp.diff.Th0_48h.txt.gz,0,illumina hiseq 2000
GSE111294,GSE111294_female_gene_exp.diff.gz,0,nextseq 500
GSE111302,GSE111302_gene.description.xls.gz,0,illumina hiseq 2000
GSE111305,sheet-SGI_vs_Control.DESeq2_Results from GSE111305_SGI_vs_Control.DESeq2_Results.xlsx,0,nextseq 500
GSE111322,GSE111322_group_miR_150_Differential_Expression.txt.gz,0,illumina hiseq 2500
GSE111329,GSE111329_tumor_Treg_gene_exp.diff.gz,0,illumina miseq
GSE111370,sheet-AS19_vs_B_vs_9A_RPKM from GSE111370_AS19_vs_B_vs_9A_rna-seq_comparison_final.xlsx,0,illumina hiseq 2500
GSE111379,GSE111379_both34a.vs.controls.star.edgeR.txt.gz,0,illumina hiseq 4000
GSE111394,GSE111394_mouse_cuffdiff_out.txt.gz,0,illumina hiseq 2500
GSE111454,sheet-Transcript_Group13 vs. Group24 from GSE111454_Transcript_Group13_vs._Group24.xlsx,0,illumina hiseq 2500
GSE111483,GSE111483_diffOE4w_6s_paired_edgeR.txt.gz,0,nextseq 500
GSE111529,GSE111529_Complete_geneList_EdgeR_FT.csv.gz,0,nextseq 500
GSE111538,sheet-Sheet1 from GSE111538_Adipo_Yes_vs_Adipo_No.DESeq2_Results.xlsx.gz,0,nextseq 500
GSE111573,sheet-RNA-Muscle from GSE111573_RNA-Muscle.xlsx,0,illumina hiseq 4000
GSE111612,GSE111612_processed_data.txt.gz,0,illumina hiseq 2500
GSE111630,sheet-flgRNA from GSE111630_flg_RNAs.xlsx,0,illumina hiseq 2000
GSE111654,sheet-Processed data from GSE111654_garcia-rodriguez_et_al_processed_data_rna-seq.xlsx,0,illumina hiseq 2000
GSE111666,GSE111666_E12_RNASEQ_HET_v_MUT.txt.gz,0,illumina hiseq 2000
GSE111730,GSE111730_MultiRankSeq_123_vs_101112.html.diff.csv.gz,0,illumina hiseq 3000
GSE111753,GSE111753_Bowen_Deseq2.txt.gz,0,illumina hiseq 4000
GSE111792,GSE111792_cuffdiff_seedlingB73_FPKMvalues.txt.gz,0,nextseq 500
GSE111799,sheet-ZDL vs ZSL from GSE111799_FPKM_value_of_ZDL_and_ZSL_samples.xlsx,0,illumina hiseq 2000
GSE111828,sheet-res_12hrs_vs_0hrs from GSE111828_results_20180108_paracetamol_time_series.xlsx,0,nextseq 500
GSE111853,sheet-allGenes from GSE111853_AZ65vsDMSO_AllGenes.xls.gz,0,nextseq 500
GSE111906,GSE111906_DE_Results.tsv.gz,1,illumina hiseq 2500
GSE111910,GSE111910_deseq_Rasha_Day15_differentiated_CM_Hiranull_Differential_expression.deseq.res.csv.gz,0,nextseq 500
GSE111911,GSE111911_gene_exp.diff.gz,0,illumina hiseq 2500
GSE111932,GSE111932_gene_expression_datamatrix.txt.gz,1,illumina hiseq 2500
GSE111945,sheet-FPravastatin vs FVehicle from GSE111945_DeFranco_PravastatinVehicle_All_Comparisons.xlsx,0,illumina hiseq 2500
GSE112002,GSE112002_rnaseq_rlog_DEGenes.txt.gz,0,nextseq 500
GSE112051,GSE112051_ColNaClvsGSE112051_ago43NaCl.txt.gz,0,illumina hiseq 2000
GSE112071,GSE112071_DESeq2_results_WT1_vs_Mut1.txt.gz,1,illumina hiseq 1500
GSE112080,sheet-4-26-16 weep v std NORM BY ... from GSE112080_Processed_data_std_vs_weeping_RNAseq_DEGs.xls.gz,0,illumina hiseq 2000
GSE112092,GSE112092_GlutiPenRNAseqforGEO.txt.gz,1,illumina hiseq 2000
GSE112101,sheet-Osteoblasts 2h from GSE112101_differential_expression_results.xlsx,0,illumina hiseq 3000
GSE112146,sheet-Sheet1 from GSE112146_Cuffdiff_oenocyte_translation_all_samples_annotated.xlsx.gz,0,illumina hiseq 3000
GSE112156,GSE112156_PCV2_VR1BL_expression_table.txt.gz,0,illumina genome analyzer iix
GSE112157,GSE112157_Gene_expression_data.txt.gz,0,nextseq 500
GSE112226,GSE112226_DESeq2.WT_vs_APC.full_results.csv.gz,1,nextseq 500
GSE112248,GSE112248_1_vs_2.diff.exp.txt.annot.txt.gz,0,hiseq x ten
GSE112261,sheet-res_CP_APCV2V3T_vs_CP_APC from GSE112261_results_Cell_Pellet_APC_V2V3T_Kras_new.xlsx,0,nextseq 500
GSE112281,sheet-2018_02_15_wt_vs_rrp6D from GSE112281_DEA_2018_02_15_wt_vs_rrp6D.xlsx,0,illumina hiseq 4000
GSE112309,GSE112309_GFP_PPWT_PPA_PPD.txt.gz,0,illumina hiseq 2500
GSE112352,sheet-VNO Gene Cuffdiff from GSE112352_VNO_sample_differential_gene_expression.xlsx,0,illumina hiseq 2000
GSE112354,GSE112354_PAK_AR2A-VS-s1_9A.GeneDiffExp.txt.gz,1,illumina hiseq 2000
GSE112368,GSE112368_WT_Ctrl-ahl10-1_Ctrl.deseq.csv.gz,0,illumina hiseq 2500
GSE112401,GSE112401_cuffdiff_gene_exp.txt.gz,0,illumina hiseq 2500
GSE112415,GSE112415_DESeq2_islets.txt.gz,0,illumina hiseq 2500
GSE112451,sheet-Processed data exposure to tric from GSE112451_Processed_data_exposure_to_triclosan_conjugation_.xlsx,0,illumina hiseq 2500
GSE112499,GSE112499_Nav1.8_Tsc2_DESeq2.csv.gz,1,illumina hiseq 3000
GSE112597,GSE112597_SKilmury_RNAseq_Processed_Data.txt.gz,0,illumina miseq
GSE112634,GSE112634_DESeq2_Expt2_Mir7DKO_cerebellum.txt.gz,0,illumina hiseq 2500
GSE112640,GSE112640_UAS_Dm0_DEGs_raw_data.txt.gz,1,illumina hiseq 2500
GSE112649,GSE112649_TAC_tree_RNAseq_processed_data_CLC_DEG_output.txt.gz,0,illumina hiseq 2000
GSE112689,GSE112689_DESeq2_Stim-TRIP_On-vs-Off_gene_expression_reordered_by_adjusted_p_value.csv.gz,1,illumina hiseq 2500
GSE112725,GSE112725_Processed_Data_Matrix_P14.txt.gz,0,illumina hiseq 4000
GSE112744,sheet-Sheet1 from GSE112744_Additional_file_5_List_of_all_circRNA_identified_in_buffalo_adipose..xlsx,0,illumina hiseq 3000
GSE112778,GSE112778_WT_KO_TFH_CD2AP_Differential.txt.gz,0,illumina hiseq 3000
GSE112817,GSE112817_DESeq2.BT549.siPAK4_vs_Control.csv.gz,0,illumina hiseq 2000
GSE112826,GSE112826_heart_edgeR.txt.gz,1,illumina hiseq 2000
